transaction_id,date,transaction_type
ing_205475,1/2/2021,food_expenses
ing_205476,1/4/2021,food_expenses
ing_205477,1/5/2021,food_expenses
ing_205478,1/5/2021,food_expenses
ing_205479,1/5/2021,food_expenses
ing_205480,1/5/2021,food_expenses
ing_205481,1/5/2021,food_expenses
ing_205482,1/5/2021,food_expenses
ing_205483,1/7/2021,food_expenses
ing_205484,1/7/2021,food_expenses
ing_205485,1/7/2021,food_expenses
ing_205486,1/7/2021,food_expenses
ing_205487,1/7/2021,food_expenses
ing_205488,1/7/2021,food_expenses
ing_205489,1/7/2021,food_expenses
ing_205490,1/10/2021,food_expenses
ing_205491,1/10/2021,food_expenses
ing_205492,1/10/2021,food_expenses
ing_205493,1/10/2021,food_expenses
187691,2/1/2021,labor
187692,2/1/2021,labor
187693,2/1/2021,labor
187694,2/2/2021,labor
187695,2/1/2021,labor
187696,2/2/2021,labor
187697,2/1/2021,labor
187698,2/1/2021,labor
187699,2/1/2021,labor
187700,2/1/2021,labor
187701,2/2/2021,labor
187702,2/2/2021,labor
187703,2/2/2021,labor
187704,2/2/2021,labor
187706,2/2/2021,labor
187707,2/2/2021,labor
187708,2/2/2021,labor
45000,2/2/2021,revenue
45001,2/2/2021,revenue
45002,2/2/2021,revenue
45003,2/3/2021,revenue
45004,2/3/2021,revenue
45005,2/3/2021,revenue
45006,2/4/2021,revenue
45007,2/4/2021,revenue
45008,2/4/2021,revenue
45009,2/4/2021,revenue
45010,2/4/2021,revenue
45011,2/4/2021,revenue