farmer_id,name,ingredient,ingredient_price
8639038899,Free Spirit Farms,Spinach,13.55
8639038899,Free Spirit Farms,Scallions,14.45
8639038899,Free Spirit Farms,Honey Butter,6.41
798083660,Martin Bournhonesque,Brioche,13.6
798083660,Martin Bournhonesque,Garlic,4.58
4093476332,County Line Harvest,Fennel,6.09
4093476332,County Line Harvest,Walnuts,4.8
9127246882,Star Route Farms,Potrero Hill Honey,5.71
9127246882,Star Route Farms,Puffed Rice,10.98
603114669,Happy Boy Farms,Nueske'S Bacon,7.7
603114669,Happy Boy Farms,Eggs,3.49
356285775,Knoll Farms,Pork Shoulder,15.79
356285775,Knoll Farms,Capers,15.35
5352354398,Capay Organics,Agnello Farms Patty,7.58
5352354398,Capay Organics,Cheddar,14.12
7421656618,Brokaw Avocados,Avocado,3.59
5604808898,River Dog Farms,Almonds,14.52
6146407633,Dwelley Farm,Ham,9.87
6146407633,Dwelley Farm,Sausage,2.71
831885188,Kashiwase Farms,Potatoes,10.4
6410418548,Cowgirl Creamery,Ricotta,7.13
6453973484,Straus Family Dairy,Straus Whole Milk Yogurt,2.04
6410418548,Cowgirl Creamery,Almond Milk,1.64
3572294229,Far West Fungi,Shittake Mushrooms,14.06
4188003859,Tomales Farmstead Creamery,Vanilla Mascarpone Cream,13.56
9299415917,Monterey Fish Company,Salmon,9.17
6064610803,Acme Bread,Acme Bun,2.76
337070018,Equator Coffees,Equator Drip Coffee,3.1
2028216955,Five Mountains Tea,Five Mountains Organic Tea,13.85
9196837229,K & J Orchards,Raspberries,12.18
9196837229,K & J Orchards,Blackberries,15.36
9196837229,K & J Orchards,Blueberries,13.96
9196837229,K & J Orchards,Lemons,12.72