Item,amount_stored,expiration_date
Honey Butter,10,4/17/2021
Straus Whole Milk Yogurt,4,3/4/2021
Almonds,7,3/23/2022
Puffed Rice,14,3/31/2021
Almond Milk,12,3/12/2021
Ricotta,8,2/28/2021
Eggs,15,3/8/2021
Cheddar,7,4/10/2021
Acme Bun,3,4/15/2021
Avocado,11,2/27/2021
Pork Shoulder,8,3/17/2021
Garlic,15,3/21/2021
Walnuts,7,3/20/2022
Ham,6,3/29/2021
Salmon,10,3/20/2021
Sausage,5,3/12/2021
Five Mountains Organic Tea,8,3/19/2021
Equator Drip Coffee,5,7/1/2021
Raspberries,16,3/15/2021
Blackberries,14,3/16/2021
Blueberries,2,3/17/2021
Vanilla Mascarpone Cream,2,4/10/2021
Potatoes,12,4/10/2022
Potrero Hill Honey,10,4/10/2022
Nueske's Bacon,5,4/10/2021
Scallions,11,4/11/2021
Soy Sauce,15,4/10/2022
Spinach,12,4/11/2021
Goat Cheese,5,4/12/2021
Shittake Mushrooms,10,4/13/2021
Lemons,2,4/14/2021
Fennel,3,4/15/2021
Capers,3,4/10/2022
Agnello Farms Patty,6,3/19/2021
Brioche,10,3/19/2021