customer_id,transaction_id,timestamp,recipe_name
5489501742,45000,2/2/2021 10:04:23,Buttermilk Biscuit
5489501742,45000,2/2/2021 10:05:23,Soft Scrambled Eggs
5489501742,45000,2/2/2021 10:06:23,Orange Juice
3921569919,45001,2/2/2021 9:50:36,Simple Green Salad
3921569919,45001,2/2/2021 9:51:36,Custard French Toast
3921569919,45001,2/2/2021 9:52:36,House Made Granola
3921569919,45001,2/2/2021 9:53:36,Fried Egg Sandwich
6871478682,45002,2/2/2021 8:14:55,The Plow
6871478682,45002,2/2/2021 8:15:55,Market Fruit
6871478682,45002,2/2/2021 8:16:55,Grilled Cheese
6871478682,45002,2/2/2021 8:17:55,Cold-Smoked Salmon Toast
903098016,45003,2/2/2021 8:18:55,Chicory Salad
903098016,45003,2/3/2021 8:24:47,Plow Burger
5775628707,45004,2/3/2021 9:54:52,One Pancake
5775628707,45004,2/3/2021 9:55:52,Chicken Apple Sausage
5775628707,45004,2/3/2021 9:56:52,Buttermilk Biscuit
1724244169,45005,2/3/2021 9:31:27,Chia Bowl
1724244169,45005,2/3/2021 9:32:27,Buttermilk Biscuit
5330362158,45006,2/4/2021 9:27:18,Lemon Ricotta Pancakes
5330362158,45006,2/4/2021 9:28:18,Two Pastured Eggs
5330362158,45006,2/4/2021 9:29:18,Soft Scrambled Eggs
5330362158,45006,2/4/2021 9:30:18,Dungeness Crab Scramble
5092005176,45007,2/4/2021 10:33:41,House Made Granola
5092005176,45007,2/4/2021 10:34:41,Mimosa
4333005231,45008,2/4/2021 12:42:09,Grapefruit Mimosa
1861769465,45009,2/4/2021 8:16:31,Iced Tea
1861769465,45009,2/4/2021 8:17:31,Chicory Salad
9843832570,45010,2/4/2021 12:19:12,Breakaway Cold-Brewed Iced Matcha
9837727207,45011,2/4/2021 11:16:05,Two Egg Breakfast
9837727207,45011,2/4/2021 11:17:05,Five Mountains Organic Tea