recipe_name,item
Buttermilk Biscuit,Honey Butter
House Made Granola,Straus Whole Milk Yogurt
House Made Granola,Market Fruit
Chia Bowl,Puffed Rice
Chia Bowl,Potrero Hill Honey
Chia Bowl,Almond Milk
Chia Bowl,Almonds
Annie's Almond Flour Pancakes,Honey Butter
Lemon Ricotta Pancakes,Honey Butter
Lemon Ricotta Pancakes,Lemons
Lemon Ricotta Pancakes,Ricotta
Custard French Toast,Vanilla Mascarpone Cream
Custard French Toast,Eggs
Fried Egg Sandwich,Cheddar
Fried Egg Sandwich,Acme Bun
Fried Egg Sandwich,Eggs
Chinese Breakfast,Eggs
Chinese Breakfast,Soy Sauce
Chinese Breakfast,Pork Shoulder
Chinese Breakfast,Garlic
Dungeness Crab Scramble,Scallions
Dungeness Crab Scramble,Plow Potatoes
Dungeness Crab Scramble,Eggs
Two Egg Breakfast,Plow Potatoes
Two Egg Breakfast,Eggs
Soft Scrambled Eggs,Spinach
Soft Scrambled Eggs,Plow Potatoes
Soft Scrambled Eggs,Goat Cheese
Soft Scrambled Eggs,Shittake Mushrooms
Soft Scrambled Eggs,Eggs
The Plow,Plow Potatoes
The Plow,Lemon Ricotta Pancakes
The Plow,Eggs
Chicory Salad,Walnuts
Chicory Salad,Fennel
Chicory Salad,Avocado
Prosciutto + Gruyere Toast,Eggs
Prosciutto + Gruyere Toast,Plow Potatoes
Prosciutto + Gruyere Toast,Brioche
Cold-Smoked Salmon Toast,Simple Green Salad
Cold-Smoked Salmon Toast,Capers
Cold-Smoked Salmon Toast,Acme Bun
Cold-Smoked Salmon Toast,Salmon
Plow Burger,Cheddar
Plow Burger,Acme Bun
Plow Burger,Agnello Farms Patty
Grilled Cheese,Acme Bun
Grilled Cheese,Cheddar
Fried Chicked Sandwich,Acme Bun
Market Fruit,Raspberries
Two Pastured Eggs,Eggs
Simple Green Salad,Walnuts
Simple Green Salad,Goat Cheese
Simple Green Salad,Lemons
Simple Green Salad,Spinach
Hong Kong Style Toast,Brioche
One Pancake,Eggs
Plow Potatoes,Potatoes
Nueske'S Bacon,Nueske's Bacon
House Made Pork Sausage,Sausage
Five Mountains Organic Tea,Five Mountains Organic Tea